Run Num,Connect Time
0,0.0030319690704345703
1,0.0026879310607910156
2,0.04299139976501465
3,0.0016064643859863281
4,0.04408550262451172
5,0.0023043155670166016
6,0.04253220558166504
7,0.0033278465270996094
8,0.04442286491394043
9,0.0015997886657714844
10,0.042884111404418945
11,0.0008881092071533203
12,0.04450702667236328
13,0.0008418560028076172
14,0.044267892837524414
15,0.003150463104248047
16,0.0502164363861084
17,0.0021729469299316406
18,0.04358935356140137
19,0.0025682449340820312
20,0.04622817039489746
21,0.0020895004272460938
22,0.04546236991882324
23,0.000978708267211914
24,0.042464494705200195
25,0.0009119510650634766
26,0.045316457748413086
27,0.0012078285217285156
28,0.04537343978881836
29,0.0034766197204589844
30,0.045189857482910156
31,0.0032041072845458984
32,0.04557681083679199
33,0.0031447410583496094
34,0.0490572452545166
35,0.0033991336822509766
36,0.0463559627532959
37,0.003439188003540039
38,0.04955577850341797
39,0.002914905548095703
40,0.04601573944091797
41,0.002941608428955078
42,0.04973459243774414
43,0.0032956600189208984
44,0.04945492744445801
45,0.003231048583984375
46,0.04475235939025879
47,0.002051830291748047
48,0.04290175437927246
49,0.0029556751251220703
50,0.04674196243286133
51,0.0030341148376464844
52,0.04399991035461426
53,0.003185272216796875
54,0.04578971862792969
55,0.0031592845916748047
56,0.045790910720825195
57,0.003125429153442383
58,0.0492708683013916
59,0.0032281875610351562
60,0.04477214813232422
61,0.003252744674682617
62,0.0452733039855957
63,0.001439809799194336
64,0.04416155815124512
65,0.0029456615447998047
66,0.04974508285522461
67,0.0032219886779785156
68,0.04445815086364746
69,0.003241300582885742
70,0.04346513748168945
71,0.0017631053924560547
72,0.043229103088378906
73,0.0008738040924072266
74,0.04382610321044922
75,0.0021648406982421875
76,0.04648137092590332
77,0.003427267074584961
78,0.04514646530151367
79,0.0018627643585205078
80,0.04429364204406738
81,0.0022172927856445312
82,0.04395174980163574
83,0.0031604766845703125
84,0.04620766639709473
85,0.0032007694244384766
86,0.04311084747314453
87,0.003191232681274414
88,0.04930591583251953
89,0.002665281295776367
90,0.045285940170288086
91,0.003843545913696289
92,0.049859046936035156
93,0.0032236576080322266
94,0.04491925239562988
95,0.003515481948852539
96,0.045331716537475586
97,0.003346681594848633
98,0.04894566535949707
99,0.0035893917083740234
